,Appearance Number,Date,GSAx,Goalie,Team,Color
2,3,2023-10-22,0.9801362054675833,JOHN GIBSON,ANA,#F47A38
3,4,2023-10-26,0.9273410977312619,JOHN GIBSON,ANA,#F47A38
4,5,2023-10-30,0.9145736184084611,JOHN GIBSON,ANA,#F47A38
5,6,2023-11-05,3.1570522611991345,JOHN GIBSON,ANA,#F47A38
6,7,2023-11-07,4.871743345000874,JOHN GIBSON,ANA,#F47A38
7,8,2023-11-12,6.134486197770382,JOHN GIBSON,ANA,#F47A38
8,9,2023-11-14,7.223505092563311,JOHN GIBSON,ANA,#F47A38
9,10,2023-11-17,9.297296510569726,JOHN GIBSON,ANA,#F47A38
10,11,2023-11-19,9.940601268693152,JOHN GIBSON,ANA,#F47A38
11,12,2023-11-22,8.93145690574391,JOHN GIBSON,ANA,#F47A38
12,13,2023-11-24,7.064211662279961,JOHN GIBSON,ANA,#F47A38
13,14,2023-11-26,6.728140753825738,JOHN GIBSON,ANA,#F47A38
14,15,2023-11-28,8.238450345223526,JOHN GIBSON,ANA,#F47A38
15,16,2023-11-30,6.635280592210753,JOHN GIBSON,ANA,#F47A38
16,17,2023-12-02,7.649412385545313,JOHN GIBSON,ANA,#F47A38
17,18,2023-12-05,8.160936833520738,JOHN GIBSON,ANA,#F47A38
18,19,2023-12-10,8.012066923849828,JOHN GIBSON,ANA,#F47A38
19,20,2023-12-13,7.177931074051365,JOHN GIBSON,ANA,#F47A38
20,21,2023-12-17,9.275791464538669,JOHN GIBSON,ANA,#F47A38
0,1,2023-10-12,1.167255051065108,JAKE OETTINGER,DAL,#006847
1,2,2023-10-17,1.8950350678051855,JAKE OETTINGER,DAL,#006847
2,3,2023-10-19,2.7572517655296824,JAKE OETTINGER,DAL,#006847
3,4,2023-10-24,6.137310117312701,JAKE OETTINGER,DAL,#006847
4,5,2023-10-30,5.375964603407434,JAKE OETTINGER,DAL,#006847
5,6,2023-11-01,6.819917414510493,JAKE OETTINGER,DAL,#006847
6,7,2023-11-04,7.6821115337668875,JAKE OETTINGER,DAL,#006847
7,8,2023-11-06,7.226497704165627,JAKE OETTINGER,DAL,#006847
8,9,2023-11-09,7.5659483092537405,JAKE OETTINGER,DAL,#006847
9,10,2023-11-12,7.028087347311617,JAKE OETTINGER,DAL,#006847
10,11,2023-11-14,6.349201191317251,JAKE OETTINGER,DAL,#006847
11,12,2023-11-18,4.68391352229721,JAKE OETTINGER,DAL,#006847
12,13,2023-11-22,4.963260374480767,JAKE OETTINGER,DAL,#006847
13,14,2023-11-24,1.5839813818714479,JAKE OETTINGER,DAL,#006847
14,15,2023-11-28,4.210387974599732,JAKE OETTINGER,DAL,#006847
15,16,2023-12-02,6.64002273503246,JAKE OETTINGER,DAL,#006847
16,17,2023-12-04,5.851488487382038,JAKE OETTINGER,DAL,#006847
17,18,2023-12-06,4.1534465095930475,JAKE OETTINGER,DAL,#006847
18,19,2023-12-09,0.953339519144158,JAKE OETTINGER,DAL,#006847
19,20,2023-12-11,1.971924006652007,JAKE OETTINGER,DAL,#006847
20,21,2023-12-15,0.14437556800797546,JAKE OETTINGER,DAL,#006847
0,1,2023-10-12,3.2485692623949194,FILIP GUSTAVSSON,MIN,#154734
1,2,2023-10-14,0.10579736082034286,FILIP GUSTAVSSON,MIN,#154734
2,3,2023-10-21,0.2842698515930473,FILIP GUSTAVSSON,MIN,#154734
3,4,2023-10-24,-1.1773563399016451,FILIP GUSTAVSSON,MIN,#154734
4,5,2023-10-26,-3.9207913138783077,FILIP GUSTAVSSON,MIN,#154734
5,6,2023-11-02,-5.3951973634813495,FILIP GUSTAVSSON,MIN,#154734
6,7,2023-11-04,-7.996828185990217,FILIP GUSTAVSSON,MIN,#154734
7,8,2023-11-10,-8.955439196607788,FILIP GUSTAVSSON,MIN,#154734
8,9,2023-11-18,-8.23156691090751,FILIP GUSTAVSSON,MIN,#154734
9,10,2023-11-24,-8.32517077283083,FILIP GUSTAVSSON,MIN,#154734
10,11,2023-11-26,-9.131393267756282,FILIP GUSTAVSSON,MIN,#154734
11,12,2023-11-28,-6.942626748031468,FILIP GUSTAVSSON,MIN,#154734
12,13,2023-11-30,-5.906781146063993,FILIP GUSTAVSSON,MIN,#154734
13,14,2023-12-05,-5.289477118517265,FILIP GUSTAVSSON,MIN,#154734
14,15,2023-12-07,-4.542024188027396,FILIP GUSTAVSSON,MIN,#154734
15,16,2023-12-10,-1.4378670001333385,FILIP GUSTAVSSON,MIN,#154734
16,17,2023-12-14,0.4124060144137154,FILIP GUSTAVSSON,MIN,#154734
17,18,2023-12-16,2.105356364123374,FILIP GUSTAVSSON,MIN,#154734
18,19,2023-12-18,2.2025259281338125,FILIP GUSTAVSSON,MIN,#154734
19,20,2023-12-21,0.8307109983903416,FILIP GUSTAVSSON,MIN,#154734
0,1,2023-10-12,0.5333475922661899,VILLE HUSSO,DET,#CE1126
1,2,2023-10-14,-0.8592133452112773,VILLE HUSSO,DET,#CE1126
2,3,2023-10-18,0.19629659570247204,VILLE HUSSO,DET,#CE1126
3,4,2023-10-21,1.7496258643734124,VILLE HUSSO,DET,#CE1126
4,5,2023-10-24,1.9160301835107147,VILLE HUSSO,DET,#CE1126
5,6,2023-10-28,3.4936996145134995,VILLE HUSSO,DET,#CE1126
6,7,2023-10-30,5.7087178551339655,VILLE HUSSO,DET,#CE1126
7,8,2023-11-04,3.7101062252228654,VILLE HUSSO,DET,#CE1126
8,9,2023-11-07,2.320002710830202,VILLE HUSSO,DET,#CE1126
9,10,2023-11-11,0.7182632562749252,VILLE HUSSO,DET,#CE1126
10,11,2023-11-24,2.0255592726085587,VILLE HUSSO,DET,#CE1126
11,12,2023-11-29,4.106010473890686,VILLE HUSSO,DET,#CE1126
12,13,2023-12-02,2.7366654079416444,VILLE HUSSO,DET,#CE1126
13,14,2023-12-07,1.0574558404704453,VILLE HUSSO,DET,#CE1126
14,15,2023-12-12,0.40368042497169077,VILLE HUSSO,DET,#CE1126
15,16,2023-12-14,2.3747426056151917,VILLE HUSSO,DET,#CE1126
16,17,2023-12-16,3.7309191401054704,VILLE HUSSO,DET,#CE1126
17,18,2023-12-18,2.444823383984671,VILLE HUSSO,DET,#CE1126
0,1,2023-10-10,2.186242220940846,JONAS JOHANSSON,T.B,#002868
1,2,2023-10-14,1.4730806441435238,JONAS JOHANSSON,T.B,#002868
2,3,2023-10-17,0.7961854476783627,JONAS JOHANSSON,T.B,#002868
3,4,2023-10-19,0.07639379359375909,JONAS JOHANSSON,T.B,#002868
4,5,2023-10-21,1.2965866902374037,JONAS JOHANSSON,T.B,#002868
5,6,2023-10-24,4.18041402320853,JONAS JOHANSSON,T.B,#002868
6,7,2023-10-26,5.72904183141435,JONAS JOHANSSON,T.B,#002868
7,8,2023-10-30,6.091890161729488,JONAS JOHANSSON,T.B,#002868
8,9,2023-11-04,5.199142377280866,JONAS JOHANSSON,T.B,#002868
9,10,2023-11-06,2.122286438379624,JONAS JOHANSSON,T.B,#002868
10,11,2023-11-09,0.17346942716132663,JONAS JOHANSSON,T.B,#002868
11,12,2023-11-11,-0.8431668261895511,JONAS JOHANSSON,T.B,#002868
12,13,2023-11-14,-2.6926258219133143,JONAS JOHANSSON,T.B,#002868
13,14,2023-11-16,-1.6643490406424628,JONAS JOHANSSON,T.B,#002868
14,15,2023-11-18,-1.1097963727364069,JONAS JOHANSSON,T.B,#002868
15,16,2023-11-20,-3.1919220725079254,JONAS JOHANSSON,T.B,#002868
16,17,2023-11-22,-4.0764326321655835,JONAS JOHANSSON,T.B,#002868
17,18,2023-11-28,-4.5622741293869815,JONAS JOHANSSON,T.B,#002868
18,19,2023-12-02,-5.696004595073385,JONAS JOHANSSON,T.B,#002868
19,20,2023-12-07,-6.84776067788437,JONAS JOHANSSON,T.B,#002868
0,1,2023-10-11,-2.577021040751542,STUART SKINNER,EDM,#FF4C00
1,2,2023-10-14,-4.456147385299634,STUART SKINNER,EDM,#FF4C00
2,3,2023-10-21,-4.820244353237269,STUART SKINNER,EDM,#FF4C00
3,4,2023-10-26,-5.201228322661843,STUART SKINNER,EDM,#FF4C00
4,5,2023-10-29,-4.3465919982798,STUART SKINNER,EDM,#FF4C00
5,6,2023-11-02,-5.908290962334739,STUART SKINNER,EDM,#FF4C00
6,7,2023-11-06,-7.946028189839699,STUART SKINNER,EDM,#FF4C00
7,8,2023-11-09,-8.97497559822949,STUART SKINNER,EDM,#FF4C00
8,9,2023-11-11,-8.488306722244387,STUART SKINNER,EDM,#FF4C00
9,10,2023-11-13,-6.717113832603592,STUART SKINNER,EDM,#FF4C00
10,11,2023-11-15,-4.312793051957008,STUART SKINNER,EDM,#FF4C00
11,12,2023-11-18,-6.763739256666002,STUART SKINNER,EDM,#FF4C00
12,13,2023-11-22,-9.417325696205426,STUART SKINNER,EDM,#FF4C00
13,14,2023-11-24,-7.341572192909606,STUART SKINNER,EDM,#FF4C00
14,15,2023-11-26,-8.062837678033857,STUART SKINNER,EDM,#FF4C00
15,16,2023-11-28,-9.647133619351731,STUART SKINNER,EDM,#FF4C00
16,17,2023-11-30,-7.705388868907676,STUART SKINNER,EDM,#FF4C00
17,18,2023-12-06,-5.215501985767784,STUART SKINNER,EDM,#FF4C00
18,19,2023-12-08,-5.878198017637677,STUART SKINNER,EDM,#FF4C00
19,20,2023-12-12,-5.364541119379765,STUART SKINNER,EDM,#FF4C00
20,21,2023-12-14,-8.075024329468606,STUART SKINNER,EDM,#FF4C00
21,22,2023-12-19,-8.41364147860164,STUART SKINNER,EDM,#FF4C00
22,23,2023-12-22,-8.068432468994088,STUART SKINNER,EDM,#FF4C00
0,1,2023-10-11,-1.106641763369324,JOONAS KORPISALO,OTT,#B79257
1,2,2023-10-15,-1.230944177639905,JOONAS KORPISALO,OTT,#B79257
2,3,2023-10-21,-3.262604420564907,JOONAS KORPISALO,OTT,#B79257
3,4,2023-10-24,-2.788194706505922,JOONAS KORPISALO,OTT,#B79257
4,5,2023-10-26,-2.8523094241939813,JOONAS KORPISALO,OTT,#B79257
5,6,2023-10-28,-0.8515037585724778,JOONAS KORPISALO,OTT,#B79257
6,7,2023-11-02,0.5842874254340193,JOONAS KORPISALO,OTT,#B79257
7,8,2023-11-04,-0.21106855270411407,JOONAS KORPISALO,OTT,#B79257
8,9,2023-11-08,-0.7606600987942609,JOONAS KORPISALO,OTT,#B79257
9,10,2023-11-11,1.329754158622686,JOONAS KORPISALO,OTT,#B79257
10,11,2023-11-16,0.6642623760543471,JOONAS KORPISALO,OTT,#B79257
11,12,2023-11-27,-1.362710398277779,JOONAS KORPISALO,OTT,#B79257
12,13,2023-12-01,-3.9626358345786827,JOONAS KORPISALO,OTT,#B79257
13,14,2023-12-09,-1.4942108497324886,JOONAS KORPISALO,OTT,#B79257
14,15,2023-12-12,-2.8288567712050425,JOONAS KORPISALO,OTT,#B79257
15,16,2023-12-14,-3.66466239190353,JOONAS KORPISALO,OTT,#B79257
16,17,2023-12-17,-6.908822220094812,JOONAS KORPISALO,OTT,#B79257
17,18,2023-12-19,-7.105482314610927,JOONAS KORPISALO,OTT,#B79257
18,19,2023-12-21,-8.725720499508832,JOONAS KORPISALO,OTT,#B79257
0,1,2023-10-11,2.1830779022921405,JACOB MARKSTROM,CGY, #D2001C
1,2,2023-10-14,1.5782628520062474,JACOB MARKSTROM,CGY, #D2001C
2,3,2023-10-16,3.2418338946990968,JACOB MARKSTROM,CGY, #D2001C
3,4,2023-10-20,4.09869171947976,JACOB MARKSTROM,CGY, #D2001C
4,5,2023-10-24,3.4996337859318225,JACOB MARKSTROM,CGY, #D2001C
5,6,2023-10-26,4.863878128900593,JACOB MARKSTROM,CGY, #D2001C
6,7,2023-10-29,4.9112035618549434,JACOB MARKSTROM,CGY, #D2001C
7,8,2023-11-01,4.813878053256194,JACOB MARKSTROM,CGY, #D2001C
8,9,2023-11-07,4.7364812158987135,JACOB MARKSTROM,CGY, #D2001C
9,10,2023-11-14,7.669993564490451,JACOB MARKSTROM,CGY, #D2001C
10,11,2023-11-16,7.5461688438805385,JACOB MARKSTROM,CGY, #D2001C
11,12,2023-11-18,7.667044217206362,JACOB MARKSTROM,CGY, #D2001C
12,13,2023-11-22,7.881234462608742,JACOB MARKSTROM,CGY, #D2001C
13,14,2023-11-24,7.118931741410301,JACOB MARKSTROM,CGY, #D2001C
14,15,2023-11-30,7.751317949806938,JACOB MARKSTROM,CGY, #D2001C
15,16,2023-12-02,7.794024959146659,JACOB MARKSTROM,CGY, #D2001C
16,17,2023-12-18,10.58101157034679,JACOB MARKSTROM,CGY, #D2001C
17,18,2023-12-21,12.194943491247626,JACOB MARKSTROM,CGY, #D2001C
18,19,2023-12-23,12.631305469231004,JACOB MARKSTROM,CGY, #D2001C
0,1,2023-10-11,0.8856278539634272,LINUS ULLMARK,BOS,#FFB81C
1,2,2023-10-19,2.2536662221521278,LINUS ULLMARK,BOS,#FFB81C
2,3,2023-10-22,4.8688451385446685,LINUS ULLMARK,BOS,#FFB81C
3,4,2023-10-26,4.105831439928037,LINUS ULLMARK,BOS,#FFB81C
4,5,2023-10-30,5.1810474994709175,LINUS ULLMARK,BOS,#FFB81C
5,6,2023-11-04,3.4344801407853955,LINUS ULLMARK,BOS,#FFB81C
6,7,2023-11-09,4.306731360654895,LINUS ULLMARK,BOS,#FFB81C
7,8,2023-11-14,5.035835909566552,LINUS ULLMARK,BOS,#FFB81C
8,9,2023-11-22,7.817971536321187,LINUS ULLMARK,BOS,#FFB81C
9,10,2023-11-25,5.036654290962996,LINUS ULLMARK,BOS,#FFB81C
10,11,2023-11-27,4.518639723612469,LINUS ULLMARK,BOS,#FFB81C
11,12,2023-12-02,5.568301296627084,LINUS ULLMARK,BOS,#FFB81C
12,13,2023-12-07,5.445059502296294,LINUS ULLMARK,BOS,#FFB81C
13,14,2023-12-09,6.664867444996206,LINUS ULLMARK,BOS,#FFB81C
14,15,2023-12-15,8.470870052895059,LINUS ULLMARK,BOS,#FFB81C
15,16,2023-12-19,7.836713533282495,LINUS ULLMARK,BOS,#FFB81C
16,17,2023-12-23,9.854667246486441,LINUS ULLMARK,BOS,#FFB81C
0,1,2023-10-12,-0.13562120890786078,VITEK VANECEK,N.J,#CE1126
1,2,2023-10-16,-1.6131010277777156,VITEK VANECEK,N.J,#CE1126
2,3,2023-10-24,-0.8527539714397898,VITEK VANECEK,N.J,#CE1126
3,4,2023-10-25,-1.4742863751623363,VITEK VANECEK,N.J,#CE1126
4,5,2023-10-27,-2.5048795453005335,VITEK VANECEK,N.J,#CE1126
5,6,2023-10-29,-1.3730386437458781,VITEK VANECEK,N.J,#CE1126
6,7,2023-11-02,-2.015139925321746,VITEK VANECEK,N.J,#CE1126
7,8,2023-11-05,-1.393296944545845,VITEK VANECEK,N.J,#CE1126
8,9,2023-11-07,-1.9150188471769582,VITEK VANECEK,N.J,#CE1126
9,10,2023-11-10,-3.632325400790741,VITEK VANECEK,N.J,#CE1126
10,11,2023-11-16,-3.0910031795727404,VITEK VANECEK,N.J,#CE1126
11,12,2023-11-18,-4.1888066292864865,VITEK VANECEK,N.J,#CE1126
12,13,2023-11-22,-5.948560324376604,VITEK VANECEK,N.J,#CE1126
13,14,2023-11-25,-6.691830172144996,VITEK VANECEK,N.J,#CE1126
14,15,2023-11-28,-7.4734446120899385,VITEK VANECEK,N.J,#CE1126
15,16,2023-12-05,-8.734114462412986,VITEK VANECEK,N.J,#CE1126
16,17,2023-12-09,-8.292012543744516,VITEK VANECEK,N.J,#CE1126
17,18,2023-12-13,-6.521783607070475,VITEK VANECEK,N.J,#CE1126
18,19,2023-12-19,-7.0730527017218865,VITEK VANECEK,N.J,#CE1126
19,20,2023-12-21,-8.272949717743684,VITEK VANECEK,N.J,#CE1126
20,21,2023-12-23,-7.857289674671774,VITEK VANECEK,N.J,#CE1126
0,1,2023-10-12,1.7289829285660483,LOGAN THOMPSON,VGK,#B4975A
1,2,2023-10-19,2.943314862689274,LOGAN THOMPSON,VGK,#B4975A
2,3,2023-10-24,3.3707868897375506,LOGAN THOMPSON,VGK,#B4975A
3,4,2023-10-28,4.887086637318308,LOGAN THOMPSON,VGK,#B4975A
4,5,2023-11-02,6.362066174246696,LOGAN THOMPSON,VGK,#B4975A
5,6,2023-11-05,6.084395763918945,LOGAN THOMPSON,VGK,#B4975A
6,7,2023-11-14,7.027671432201888,LOGAN THOMPSON,VGK,#B4975A
7,8,2023-11-18,5.446562778784531,LOGAN THOMPSON,VGK,#B4975A
8,9,2023-11-25,5.364882165524121,LOGAN THOMPSON,VGK,#B4975A
9,10,2023-11-28,7.147101818507024,LOGAN THOMPSON,VGK,#B4975A
10,11,2023-11-30,6.718912761270043,LOGAN THOMPSON,VGK,#B4975A
11,12,2023-12-02,8.356323932274568,LOGAN THOMPSON,VGK,#B4975A
12,13,2023-12-04,8.822365203549836,LOGAN THOMPSON,VGK,#B4975A
13,14,2023-12-06,8.074123681541995,LOGAN THOMPSON,VGK,#B4975A
14,15,2023-12-09,9.043020379584004,LOGAN THOMPSON,VGK,#B4975A
15,16,2023-12-12,7.818162204026871,LOGAN THOMPSON,VGK,#B4975A
16,17,2023-12-15,6.5771807385550165,LOGAN THOMPSON,VGK,#B4975A
17,18,2023-12-17,6.7003183806394215,LOGAN THOMPSON,VGK,#B4975A
18,19,2023-12-19,3.7984194812522123,LOGAN THOMPSON,VGK,#B4975A
0,1,2023-10-12,0.9632053273617607,CARTER HART,PHI,#F74902
1,2,2023-10-14,-0.6156957289843223,CARTER HART,PHI,#F74902
2,3,2023-10-17,1.4948574598472182,CARTER HART,PHI,#F74902
3,4,2023-10-19,2.727237521162283,CARTER HART,PHI,#F74902
4,5,2023-10-24,2.5889460821493446,CARTER HART,PHI,#F74902
5,6,2023-10-26,2.5690505494043023,CARTER HART,PHI,#F74902
6,7,2023-10-30,1.5966058999546644,CARTER HART,PHI,#F74902
7,8,2023-11-01,0.35013816626750915,CARTER HART,PHI,#F74902
8,9,2023-11-15,2.318402755676516,CARTER HART,PHI,#F74902
9,10,2023-11-18,2.0016773934057785,CARTER HART,PHI,#F74902
10,11,2023-11-22,1.0802454801626595,CARTER HART,PHI,#F74902
11,12,2023-11-24,0.1961141221463727,CARTER HART,PHI,#F74902
12,13,2023-11-28,-0.20795578261204017,CARTER HART,PHI,#F74902
13,14,2023-11-30,0.8229959613615794,CARTER HART,PHI,#F74902
14,15,2023-12-04,3.0849706454324384,CARTER HART,PHI,#F74902
15,16,2023-12-07,4.508459681351926,CARTER HART,PHI,#F74902
16,17,2023-12-09,6.3369699860166335,CARTER HART,PHI,#F74902
17,18,2023-12-22,4.8066720289328995,CARTER HART,PHI,#F74902
0,1,2023-10-14,1.8857647842462275,JEREMY SWAYMAN,BOS,#FFB81C
1,2,2023-10-21,4.413476008092433,JEREMY SWAYMAN,BOS,#FFB81C
2,3,2023-10-24,6.641234667103597,JEREMY SWAYMAN,BOS,#FFB81C
3,4,2023-10-28,7.60127676519706,JEREMY SWAYMAN,BOS,#FFB81C
4,5,2023-11-02,8.190774382056102,JEREMY SWAYMAN,BOS,#FFB81C
5,6,2023-11-06,10.105651462323973,JEREMY SWAYMAN,BOS,#FFB81C
6,7,2023-11-11,10.772561428069462,JEREMY SWAYMAN,BOS,#FFB81C
7,8,2023-11-18,10.872753585049134,JEREMY SWAYMAN,BOS,#FFB81C
8,9,2023-11-20,9.566769948420339,JEREMY SWAYMAN,BOS,#FFB81C
9,10,2023-11-24,8.50006296240103,JEREMY SWAYMAN,BOS,#FFB81C
10,11,2023-11-27,7.593185098850548,JEREMY SWAYMAN,BOS,#FFB81C
11,12,2023-11-30,9.459033606208829,JEREMY SWAYMAN,BOS,#FFB81C
12,13,2023-12-03,10.883808504357166,JEREMY SWAYMAN,BOS,#FFB81C
13,14,2023-12-13,13.585987557140912,JEREMY SWAYMAN,BOS,#FFB81C
14,15,2023-12-16,15.116279043257201,JEREMY SWAYMAN,BOS,#FFB81C
15,16,2023-12-22,13.367623628495938,JEREMY SWAYMAN,BOS,#FFB81C
0,1,2023-10-16,-0.8459165410316185,JOSEPH WOLL,TOR,#00205B
1,2,2023-10-21,2.1304759400920115,JOSEPH WOLL,TOR,#00205B
2,3,2023-10-24,5.05066194533642,JOSEPH WOLL,TOR,#00205B
3,4,2023-10-26,7.729003969671385,JOSEPH WOLL,TOR,#00205B
4,5,2023-10-31,7.028833993003262,JOSEPH WOLL,TOR,#00205B
5,6,2023-11-04,5.554482811289581,JOSEPH WOLL,TOR,#00205B
6,7,2023-11-06,7.7104980307189805,JOSEPH WOLL,TOR,#00205B
7,8,2023-11-08,4.887919458395265,JOSEPH WOLL,TOR,#00205B
8,9,2023-11-10,2.8777579280497645,JOSEPH WOLL,TOR,#00205B
9,10,2023-11-19,2.875458108374722,JOSEPH WOLL,TOR,#00205B
10,11,2023-11-25,2.9793981393364377,JOSEPH WOLL,TOR,#00205B
11,12,2023-11-28,5.510321160493239,JOSEPH WOLL,TOR,#00205B
12,13,2023-11-30,7.282403661494747,JOSEPH WOLL,TOR,#00205B
13,14,2023-12-02,7.3436293339364145,JOSEPH WOLL,TOR,#00205B
14,15,2023-12-07,7.974404857997545,JOSEPH WOLL,TOR,#00205B
0,1,2023-10-12,-1.5350736447902897,KAAPO KAHKONEN,S.J,#006D75
1,2,2023-10-19,0.6292078103340626,KAAPO KAHKONEN,S.J,#006D75
2,3,2023-10-26,1.1356684573112943,KAAPO KAHKONEN,S.J,#006D75
3,4,2023-10-27,2.689585437065248,KAAPO KAHKONEN,S.J,#006D75
4,5,2023-11-02,-0.19617723502575402,KAAPO KAHKONEN,S.J,#006D75
5,6,2023-11-10,-2.549748449380902,KAAPO KAHKONEN,S.J,#006D75
6,7,2023-11-16,0.1648013742048935,KAAPO KAHKONEN,S.J,#006D75
7,8,2023-11-22,-2.0479580995074524,KAAPO KAHKONEN,S.J,#006D75
8,9,2023-11-25,-0.44575075242625495,KAAPO KAHKONEN,S.J,#006D75
9,10,2023-12-01,2.0164118391124504,KAAPO KAHKONEN,S.J,#006D75
10,11,2023-12-05,2.3223781994309993,KAAPO KAHKONEN,S.J,#006D75
11,12,2023-12-07,2.211628841574704,KAAPO KAHKONEN,S.J,#006D75
12,13,2023-12-10,1.0398120015490182,KAAPO KAHKONEN,S.J,#006D75
13,14,2023-12-15,3.1731791271271392,KAAPO KAHKONEN,S.J,#006D75
14,15,2023-12-19,3.3198724444367946,KAAPO KAHKONEN,S.J,#006D75
0,1,2023-10-24,-0.44870715061194266,UKKO-PEKKA LUUKKONEN,BUF,#003087
1,2,2023-10-27,-2.218066274515408,UKKO-PEKKA LUUKKONEN,BUF,#003087
2,3,2023-10-29,0.4017755991898948,UKKO-PEKKA LUUKKONEN,BUF,#003087
3,4,2023-11-01,2.3790668008435145,UKKO-PEKKA LUUKKONEN,BUF,#003087
4,5,2023-11-03,-0.027523243754713267,UKKO-PEKKA LUUKKONEN,BUF,#003087
5,6,2023-11-07,0.22176528155602204,UKKO-PEKKA LUUKKONEN,BUF,#003087
6,7,2023-11-11,0.33454363998691505,UKKO-PEKKA LUUKKONEN,BUF,#003087
7,8,2023-11-14,1.5353582610036736,UKKO-PEKKA LUUKKONEN,BUF,#003087
8,9,2023-11-19,2.632920816958749,UKKO-PEKKA LUUKKONEN,BUF,#003087
9,10,2023-11-24,3.3607062454801677,UKKO-PEKKA LUUKKONEN,BUF,#003087
10,11,2023-11-27,5.43391271365316,UKKO-PEKKA LUUKKONEN,BUF,#003087
11,12,2023-11-30,2.2771214815356826,UKKO-PEKKA LUUKKONEN,BUF,#003087
12,13,2023-12-03,4.429027148898205,UKKO-PEKKA LUUKKONEN,BUF,#003087
13,14,2023-12-13,2.298472339737618,UKKO-PEKKA LUUKKONEN,BUF,#003087
14,15,2023-12-16,3.553785722322388,UKKO-PEKKA LUUKKONEN,BUF,#003087
15,16,2023-12-19,0.43232194915720923,UKKO-PEKKA LUUKKONEN,BUF,#003087
16,17,2023-12-23,0.3248279223335011,UKKO-PEKKA LUUKKONEN,BUF,#003087
0,1,2023-10-15,-0.02809024896721679,LUKAS DOSTAL,ANA,#F47A38
1,2,2023-10-21,1.2963393891612784,LUKAS DOSTAL,ANA,#F47A38
2,3,2023-10-24,3.094165825644169,LUKAS DOSTAL,ANA,#F47A38
3,4,2023-10-28,1.6347817681854098,LUKAS DOSTAL,ANA,#F47A38
4,5,2023-10-30,5.496183937744373,LUKAS DOSTAL,ANA,#F47A38
5,6,2023-11-01,5.6013223381456125,LUKAS DOSTAL,ANA,#F47A38
6,7,2023-11-10,3.795720985631775,LUKAS DOSTAL,ANA,#F47A38
7,8,2023-11-15,-0.2571802667639118,LUKAS DOSTAL,ANA,#F47A38
8,9,2023-11-26,-4.682857303166411,LUKAS DOSTAL,ANA,#F47A38
9,10,2023-12-07,-3.2880475772486726,LUKAS DOSTAL,ANA,#F47A38
10,11,2023-12-15,-4.531263451065123,LUKAS DOSTAL,ANA,#F47A38
11,12,2023-12-17,-3.259942214639768,LUKAS DOSTAL,ANA,#F47A38
12,13,2023-12-18,-2.8924659482693706,LUKAS DOSTAL,ANA,#F47A38
13,14,2023-12-21,0.23925838266497346,LUKAS DOSTAL,ANA,#F47A38
14,15,2023-12-23,-0.9670842829628983,LUKAS DOSTAL,ANA,#F47A38
0,1,2023-10-13,-0.2704613484612617,CHARLIE LINDGREN,WSH,#C8102E
1,2,2023-11-04,1.9688238246474556,CHARLIE LINDGREN,WSH,#C8102E
2,3,2023-11-10,3.156783929312209,CHARLIE LINDGREN,WSH,#C8102E
3,4,2023-11-14,6.991949987134973,CHARLIE LINDGREN,WSH,#C8102E
4,5,2023-11-18,7.898954423371691,CHARLIE LINDGREN,WSH,#C8102E
5,6,2023-11-24,6.503235077013529,CHARLIE LINDGREN,WSH,#C8102E
6,7,2023-11-29,9.22205560896116,CHARLIE LINDGREN,WSH,#C8102E
7,8,2023-12-04,8.410912372442876,CHARLIE LINDGREN,WSH,#C8102E
8,9,2023-12-07,6.9608027964142405,CHARLIE LINDGREN,WSH,#C8102E
9,10,2023-12-09,9.687540969420045,CHARLIE LINDGREN,WSH,#C8102E
10,11,2023-12-14,10.359186709368222,CHARLIE LINDGREN,WSH,#C8102E
11,12,2023-12-16,9.535012962020671,CHARLIE LINDGREN,WSH,#C8102E
12,13,2023-12-21,10.07118002528298,CHARLIE LINDGREN,WSH,#C8102E
13,14,2023-12-23,11.6461188822338,CHARLIE LINDGREN,WSH,#C8102E
0,1,2023-10-14,2.724440874329262,SAM MONTEMBEAULT,MTL,#AF1E2D
1,2,2023-10-17,0.8160538829945776,SAM MONTEMBEAULT,MTL,#AF1E2D
2,3,2023-10-26,1.3010682500754434,SAM MONTEMBEAULT,MTL,#AF1E2D
3,4,2023-10-30,2.138852460741343,SAM MONTEMBEAULT,MTL,#AF1E2D
4,5,2023-11-04,0.14990461113584663,SAM MONTEMBEAULT,MTL,#AF1E2D
5,6,2023-11-07,1.421767099953291,SAM MONTEMBEAULT,MTL,#AF1E2D
6,7,2023-11-11,2.34015050693372,SAM MONTEMBEAULT,MTL,#AF1E2D
7,8,2023-11-14,3.228161486523524,SAM MONTEMBEAULT,MTL,#AF1E2D
8,9,2023-11-22,3.082776184679188,SAM MONTEMBEAULT,MTL,#AF1E2D
9,10,2023-11-29,3.3110046610888957,SAM MONTEMBEAULT,MTL,#AF1E2D
10,11,2023-12-04,3.693466704677855,SAM MONTEMBEAULT,MTL,#AF1E2D
11,12,2023-12-07,2.5304020094704947,SAM MONTEMBEAULT,MTL,#AF1E2D
12,13,2023-12-13,2.6058377082583433,SAM MONTEMBEAULT,MTL,#AF1E2D
13,14,2023-12-16,2.9253470416971945,SAM MONTEMBEAULT,MTL,#AF1E2D
