,Player,Team,EV_xGF,EV_xGA,EV_TOI,Game_Id,xGF/60,xGA/60,xGF%
0,AARON EKBLAD,FLA,15.101654150756065,17.172196565894396,393.8666666666667,605064,2.3005228056331175,2.615940573680595,46.79222905051409
1,ADAM FOX,NYR,4.612262018024918,5.0973640154697915,112.76666666666667,211008,2.454056054521091,2.712165305304648,47.501953238098736
2,ADAM LARSSON,SEA,11.245574055355965,14.428263097652227,307.0333333333333,422716,2.1975934534405317,2.8195498399494094,43.8016880310325
3,ADAM LOWRY,WPG,2.3408756137359865,1.9181943847797795,72.96666666666667,150865,1.9248862972703404,1.5773183611711297,54.96213057197353
4,ADAM PELECH,NYI,5.608414608519521,5.074312929005824,117.81666666666666,180801,2.8561737997836008,2.584174076166497,52.49983760063874
5,ADRIAN KEMPE,L.A,5.023271152807862,4.56466527841985,95.23333333333333,181101,3.164819067222314,2.8758829195504827,52.391577570822975
6,ALEC MARTINEZ,VGK,20.31152950343675,19.464599226484992,391.5333333333333,666332,3.112613068805223,2.982826375589391,51.06462129925009
7,ALEKSANDER BARKOV,FLA,14.982935384148721,15.875728155719106,340.46666666666664,635178,2.640423310306217,2.7977590248966506,48.55341633571243
8,ALEX IAFALLO,L.A,4.62770220916718,2.740872321650383,87.46666666666667,181101,3.1744908447030955,1.8801715621077322,62.80322184179256
9,ALEX KILLORN,T.B,4.175266292877493,3.7690270680468503,91.75,180741,2.7304193740888234,2.4647588455892206,52.55679899000718
10,ALEX NEWHOOK,COL,1.955314419232307,2.491148255299775,61.666666666666664,211078,1.9024680835773797,2.4238199240754565,43.97460548655279
11,ALEX PIETRANGELO,VGK,21.160770243033753,18.614129467285224,388.2,636087,3.2705981828491115,2.876990644093543,53.20131640091583
12,ALEX WENNBERG,SEA,8.01969652064144,13.56080634100362,210.56666666666666,422716,2.2851755164088323,3.864089190091264,37.16176852808567
13,ALEXANDER EDLER,L.A,1.3441455932334057,3.3741305340081427,46.833333333333336,120730,1.7220370589467118,4.322729509761321,28.488065492242292
14,ALEXANDER KERFOOT,TOR,6.207360738888379,5.842114350642073,141.98333333333335,331806,2.623136361075028,2.46878878534,51.51561120103755
15,ALEXANDER ROMANOV,NYI,3.147624078206716,3.3525054182391596,63.81666666666667,120538,2.9593749494761497,3.152003004873589,48.42402108954546
16,ALEXIS LAFRENIÈRE,NYR,4.498154768254605,4.144954263232646,88.5,211008,3.0495964530539696,2.8101384835475565,52.04324915800109
17,ANDERS LEE,NYI,3.86787722748704,3.5526313289883515,81.81666666666666,180801,2.8364958278576786,2.605311221095552,52.12415292091802
18,ANDREW COGLIANO,COL,1.1668249759823075,1.774487555027007,31.950000000000003,120618,2.191220612173347,3.3323709953558813,39.670214017750446
19,ANTHONY CIRELLI,T.B,4.0938679787795955,4.297961902571839,89.6,180741,2.741429450075622,2.8780994883293567,48.78397246680496
20,ANTHONY DUCLAIR,FLA,12.049321700585997,16.335698839044188,293.8,605064,2.4607192036594956,3.336085535543401,42.449578938169694
21,ANTON LUNDELL,FLA,11.510978612001045,12.277102767839086,317.1333333333333,635178,2.177818110321829,2.322764870938654,48.38968905561398
22,ANZE KOPITAR,L.A,5.591659573896319,4.709173981100318,99.75,181101,3.3634042549752294,2.8325858532934243,54.283563985789925
23,ARTEMI PANARIN,NYR,2.8116558918263737,6.579046790022401,105.66666666666667,211008,1.5965238502484138,3.7357363476467893,29.940846676585807
24,ARTHUR KALIYEV,L.A,0.2619449358899143,1.3677929376717646,18.833333333333332,60363,0.8345148400032669,4.3575704209011965,16.07282619734742
25,ARTTURI LEHKONEN,COL,5.469017903669734,4.928114436450412,112.96666666666667,211078,2.9047601730910357,2.617470045916418,52.60121468845838
26,AUSTON MATTHEWS,TOR,10.573476680554442,7.356520461966277,215.68333333333334,331806,2.941389077350745,2.046478144121675,58.97087766667626
27,AXEL JONSSON-FJALLBY,WPG,0.0224038641899824,0.0707419316750018,5.233333333333333,30174,0.25685958943928866,0.8110539937261353,24.052469552632346
28,BARCLAY GOODROW,NYR,2.0360595005331543,3.9013865844462976,68.31666666666666,211008,1.7881957067380716,3.426443450599334,34.29183981449493
29,BEN HUTTON,VGK,1.5789001376833764,0.9902290669269853,24.53333333333333,60420,3.8614405541169536,2.4217558702018662,61.45662642618377
30,BEN MEYERS,COL,1.5114752394147206,1.468361988663672,33.016666666666666,180926,2.7467495516875284,2.668401392826461,50.72341620449603
31,BLAKE LIZOTTE,L.A,1.320156138855963,1.2883896087296296,27.53333333333333,90549,2.87685357135682,2.8076286873042777,50.60889348319337
32,BLAKE WHEELER,WPG,2.126609762199221,2.3152536931447667,79.48333333333332,150865,1.605325045904214,1.7477276777775552,47.87652262567201
33,BO HORVAT,NYI,4.318758366396647,3.5981288290931808,92.26666666666668,180801,2.8084411342174724,2.3398236605374727,54.55121766616809
34,BOWEN BYRAM,COL,6.653821648913431,7.101219205884259,143.75,211078,2.7772472969377797,2.9639871468038645,48.373696008271835
35,BRAD MARCHAND,BOS,4.308284268248823,4.855713614029806,104.53333333333333,210798,2.4728672458060843,2.787080518256904,47.01315215906147
