,Team,EV_xGF,EV_xGA,EV_TOI,5v5_xGF,5v5_xGA,5v5_TOI,ALL_xGF,ALL_xGA,ALL_TOI,EV_xGF/60,EV_xGA/60,5v5_xGF/60,5v5_xGA/60,ALL_xGF/60,ALL_xGA/60,EV_xGF%,5v5_xGF%,ALL_xGF%
0,ANA,17.842601815765512,17.913304517203272,452.46666666666664,16.728099245877804,17.14850871203671,438.3833333333333,26.34807148878606,31.41075755615283,544.4666666666667,2.3660441482523886,2.375419782743914,2.289516681943508,2.3470566613440353,2.903546509110745,3.4614524060900633,49.901131437168225,49.37949887621395,45.61739204976976
1,ARI,18.491600345387976,15.598160748990992,416.65,17.635481980468803,15.058856418097829,403.5333333333333,26.440989574984552,22.639749546007046,500.0,2.6628969656144936,2.246224996854577,2.622159884754985,2.2390501860710468,3.1729187489981463,2.7167699455208454,54.24385431799649,53.94047668278239,53.872435600049606
2,BOS,19.376868694400457,16.687024860296997,445.06666666666666,18.54592933068417,16.0657638152745,435.59999999999997,27.571083132757373,26.782324264667977,545.7333333333333,2.6122201655123445,2.2495989176553772,2.554535720479914,2.212915126070868,3.0312698289129774,2.9445506765454654,53.72927541784114,53.58284338323285,50.72558364402262
3,BUF,17.506917160435734,17.07061336210787,437.23333333333335,17.052227564900306,16.53403612074738,418.01666666666665,23.792589494097296,27.771416809652457,541.7666666666667,2.4024129670491976,2.34254052388459,2.4475905758797936,2.3732119945253607,2.635000374661609,3.075650664946436,50.630906533425524,50.77143359708446,46.14185591775302
4,CAR,19.954702571100224,18.07757703546644,482.56666666666666,19.219908965575875,17.110101995823243,465.98333333333335,33.03421217579269,27.558107076338718,624.8333333333334,2.4810709834897016,2.24767829411063,2.474754900964739,2.203096218926416,3.1721302702815066,2.646283955049863,52.467805710112735,52.903669602514455,54.518811267701516
5,CBJ,18.658169916374238,22.405250754490364,426.2166666666667,17.990647404768342,20.626322815584132,420.35,29.163669995006874,31.279072834652176,549.7333333333333,2.6265753606908557,3.1540649402168426,2.5679525259571796,2.94416407502093,3.1830345616670126,3.4139177238887894,45.43744678731214,46.587413000325576,48.25007706416718
6,CGY,16.241571267833287,18.79495427948364,442.31666666666666,16.074022157626832,17.810724239077757,437.91666666666663,25.82139910111794,29.96215496175039,560.0,2.2031597484532135,2.549524677122013,2.2023398579431626,2.4402895246690743,2.766578475119779,3.21023088875897,46.35611269701671,47.437339413554206,46.28855141072062
7,CHI,15.97553496049698,23.152658999907594,428.18333333333334,15.539463355088651,22.367798307715947,412.78333333333336,23.368677466566393,34.03056119044722,542.8333333333334,2.2386020730134724,3.244310163079185,2.258734125179438,3.251264743722591,2.582967113283359,3.7614375279585506,40.82870519570436,40.993368218776666,40.71252165242957
8,COL,17.67883094362169,14.240542091657925,371.8333333333333,17.065293461678273,13.98390535194465,363.09999999999997,26.949800750109286,22.490026368105926,500.0,2.852702438235683,2.2978911488107814,2.8199328220894975,2.3107527433673343,3.2339760900131145,2.6988031641727113,55.38589659665858,54.96210567014962,54.51030539744771
9,DAL,18.944781949156496,14.017145829766722,331.6166666666667,17.79749970449932,13.046263996597926,324.26666666666665,22.60302824061527,19.612855198719572,462.2166666666667,3.4277134752456844,2.536147408511846,3.293122889401601,2.413987992791557,2.93408220049093,2.5459300730317835,57.4747389661788,57.70210106967648,53.541526077729294
10,DET,21.08173389600849,23.428522456479115,510.4666666666667,19.9206104913696,22.451352502335638,494.28333333333336,30.505217270337983,34.70669228604731,606.3333333333334,2.4779365948031398,2.7537769636713074,2.418120435948699,2.725321813009013,3.0186581136123345,3.434417048646792,47.36376651946708,47.01365970306591,46.77859838464281
