,Date,Game_Id,Team,EV_xGF,EV_xGA,EV_GF,EV_GA,EV_TOI,5v5_xGF,5v5_xGA,5v5_GF,5v5_GA,5v5_TOI,ALL_xGF,ALL_xGA,ALL_GF,ALL_GA,ALL_TOI
67,2023-10-15,20034,CAR,1.810307346080896,2.841902759278306,1,4,44.41666666666666,1.722481651200453,2.3408980142915734,1,3,42.65,2.9719097510327828,2.982316120486553,3,4,60.0
68,2023-10-16,20038,TOR,2.9421859067808382,1.6346082362035137,1,2,50.11666666666667,2.9421859067808382,1.624221956813524,1,2,48.11666666666667,5.7806957416144,2.154083458968382,1,3,60.0
69,2023-10-16,20038,CHI,1.6346082362035137,2.9421859067808382,2,1,50.11666666666667,1.624221956813524,2.9421859067808382,2,1,48.11666666666667,2.154083458968382,5.7806957416144,3,1,60.0
70,2023-10-16,20039,WSH,1.904245067523016,2.1793664877651286,2,1,51.78333333333333,1.570028214895366,2.11053525516173,2,1,51.78333333333333,3.6635710426928494,3.718694072497976,2,2,80.0
71,2023-10-16,20039,CGY,2.1793664877651286,1.904245067523016,1,2,51.78333333333333,2.11053525516173,1.570028214895366,1,2,51.78333333333333,3.718694072497976,3.6635710426928494,2,2,80.0
72,2023-10-16,20036,N.J,1.5940296589288836,1.5520371634985717,1,3,47.56666666666667,1.5940296589288836,1.5520371634985717,1,3,45.78333333333333,3.4915267536408026,2.5225201811301448,3,4,60.0
73,2023-10-16,20036,FLA,1.5520371634985717,1.5940296589288836,3,1,47.56666666666667,1.5520371634985717,1.5940296589288836,3,1,45.78333333333333,2.5225201811301448,3.4915267536408026,4,3,60.0
74,2023-10-16,20037,NYR,2.0479771655264614,1.601879252843554,1,0,51.4,2.0479771655264614,1.601879252843554,1,0,51.4,2.7063165564468434,2.8362619299573675,2,1,60.0
75,2023-10-16,20037,ARI,1.601879252843554,2.0479771655264614,0,1,51.4,1.601879252843554,2.0479771655264614,0,1,51.4,2.8362619299573675,2.7063165564468434,1,2,60.0
76,2023-10-16,20035,CBJ,0.8717267468742049,1.505804292422162,0,2,50.03333333333333,0.8717267468742049,1.505804292422162,0,2,48.0,1.806739945996852,2.81394003040148,0,4,60.0
77,2023-10-16,20035,DET,1.505804292422162,0.8717267468742049,2,0,50.03333333333333,1.505804292422162,0.8717267468742049,2,0,48.0,2.81394003040148,1.806739945996852,4,0,60.0
78,2023-10-17,20048,VGK,1.5329653605707976,2.002623104163976,2,2,48.46666666666667,1.2484641349812278,1.792293831479801,2,2,47.91666666666666,2.7277800167400765,2.1994066421719576,2,2,80.0
79,2023-10-17,20048,DAL,2.002623104163976,1.5329653605707976,2,2,48.46666666666667,1.792293831479801,1.2484641349812278,2,2,47.91666666666666,2.1994066421719576,2.7277800167400765,2,2,80.0
80,2023-10-17,20044,NSH,2.6689690827689607,2.080420503141173,0,4,47.96666666666667,2.6689690827689607,2.080420503141173,0,4,45.75,3.4696039398541645,3.4301869420476696,1,6,60.0
81,2023-10-17,20044,EDM,2.080420503141173,2.6689690827689607,4,0,47.96666666666667,2.080420503141173,2.6689690827689607,4,0,45.75,3.4301869420476696,3.4696039398541645,6,1,60.0
82,2023-10-17,20041,MTL,1.7583434722255036,1.0919745611927536,2,0,46.36666666666667,1.5730449823918995,1.0919745611927536,2,0,46.36666666666667,2.79710878343488,3.091613008665316,2,5,60.0
83,2023-10-17,20041,MIN,1.0919745611927536,1.7583434722255036,0,2,46.36666666666667,1.0919745611927536,1.5730449823918995,0,2,46.36666666666667,3.091613008665316,2.79710878343488,5,2,60.0
84,2023-10-17,20046,SEA,1.916059627542702,2.0458672708747305,1,2,43.73333333333333,1.8037527775562343,1.8793677147457848,1,2,43.73333333333333,2.632515599605909,2.3424270053472864,1,3,60.0
85,2023-10-17,20046,COL,2.0458672708747305,1.916059627542702,2,1,43.73333333333333,1.8793677147457848,1.8037527775562343,2,1,43.73333333333333,2.3424270053472864,2.632515599605909,3,1,60.0
86,2023-10-17,20047,S.J,0.7559184736177617,1.5346806749362198,1,2,44.61666666666667,0.7559184736177617,1.5132106346194598,1,2,44.61666666666667,1.557676544460415,4.483191094694796,3,6,60.0
87,2023-10-17,20047,CAR,1.5346806749362198,0.7559184736177617,2,1,44.61666666666667,1.5132106346194598,0.7559184736177617,2,1,44.61666666666667,4.483191094694796,1.557676544460415,6,3,60.0
88,2023-10-17,20045,WPG,1.284295138954478,2.6500209098838714,1,4,52.03333333333333,1.284295138954478,2.6500209098838714,1,4,48.03333333333333,2.9519239647997733,2.973623661749329,1,5,60.0
89,2023-10-17,20045,L.A,2.6500209098838714,1.284295138954478,4,1,52.03333333333333,2.6500209098838714,1.284295138954478,4,1,48.03333333333333,2.973623661749329,2.9519239647997733,5,1,60.0
90,2023-10-17,20042,PHI,3.235949582734384,1.8026287313110367,1,0,52.3,3.1766525683181093,1.7578070202731897,1,0,50.266666666666666,4.410050857410203,2.110553188831541,1,0,60.0
91,2023-10-17,20042,VAN,1.8026287313110367,3.235949582734384,0,1,52.3,1.7578070202731897,3.1766525683181093,0,1,50.266666666666666,2.110553188831541,4.410050857410203,0,1,60.0
92,2023-10-17,20040,BUF,1.8373553586261908,1.368572683703706,3,1,43.03333333333333,1.5125706809257478,1.3133141796411816,2,1,41.03333333333333,2.3231048035348394,3.066525756934368,3,2,61.766666666666666
93,2023-10-17,20040,T.B,1.368572683703706,1.8373553586261908,1,3,43.03333333333333,1.3133141796411816,1.5125706809257478,1,2,41.03333333333333,3.066525756934368,2.3231048035348394,2,3,61.766666666666666
94,2023-10-17,20043,NYI,2.2851966737013094,1.3404868058093555,0,0,56.66666666666666,2.2766433502597234,1.3404868058093555,0,0,54.66666666666666,2.836008541111409,1.6680321925433268,1,0,60.0
95,2023-10-17,20043,ARI,1.3404868058093555,2.2851966737013094,0,0,56.66666666666666,1.3404868058093555,2.2766433502597234,0,0,54.66666666666666,1.6680321925433268,2.836008541111409,0,1,60.0
96,2023-10-18,20050,DET,1.310878572954726,2.234257925424892,3,3,55.85,1.2604766533221243,2.2283741215405315,3,3,51.25,2.2173271651601514,4.055509940913749,4,3,60.0
